Category,FullName,ShortName,address,geometry
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 52 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 52 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Западное, Булатниковский проезд, дом 8",POINT(37.653643768 55.590810881)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 68 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 68 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, 1-й Зачатьевский переулок, дом 1",POINT(37.60506158 55.739319093)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 109 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 109 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, улица Шкулёва, дом 4, строение 7",POINT(37.748247234 55.693205555)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 170 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 170 филиал № 1 ДЗМ,"город Москва, Чертановская улица, дом 62, корпус 1",POINT(37.587428005 55.599277613)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 62 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 62 филиал № 5 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Планетная улица, дом 37",POINT(37.54256425 55.804086977)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника «Троицкая» филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ Поликлиника «Троицкая» филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коммунарка, посёлок Коммунарка, Фитарёвская улица, дом 27, строение 1",POINT(37.476539975 55.563984044)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 115 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 115 филиал № 4 ДЗМ,"город Москва, Пехотная улица, дом 3, строение 16",POINT(37.48577113 55.798550991)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 107 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 107 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, Ленская улица, дом 21А",POINT(37.657294312 55.866936641)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 2 филиал № 6 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 2 филиал № 6 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Котловка, улица Ремизова, дом 6",POINT(37.597664093 55.677642884)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Клинико-диагностический центр № 4 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, улица Крылатские Холмы, дом 3",POINT(37.424326852 55.7478828)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 219 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 219 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, Планерная улица, дом 8",POINT(37.435853853 55.861212304)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 218 ДЗМ,"город Москва, проезд Шокальского, дом 8, строение 1",POINT(37.646507388 55.874618487)
