ticket_id,price,square,rooms,studio,floor,floors_total,building_year,metro,metro_dist,time_to_metro,address,keep,photo,url
12041833.0,27000000,65.1,2,False,22,30.0,2025.0,метро Тушинская,1400.0,21.0,"Москва, Покровское-Стрешнево, Строительный проезд 9",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/93/47e8fc812687725e700ce90631cf3105ddae7f93.jpeg,https://msk.etagi.com/realty/12041833/
12011637.0,21443729,53.8,2,False,16,16.0,2025.0,станция Перово,700.0,11.0,"Москва, Новогиреево, Кусковская 12/1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/2d/f023bff468ffbc2938dbcc2687faba5936812e2d.jpeg,https://msk.etagi.com/realty/12011637/
11998500.0,24500000,46.3,1,False,17,57.0,2027.0,метро Беломорская,1100.0,17.0,"Москва, Левобережный, Ленинградское шоссе 57с2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/29/12872427729638f903da415693fe2ef1bc834729.jpeg,https://msk.etagi.com/realty/11998500/
11994637.0,11780000,23.9,1,False,17,24.0,2025.0,метро Боровское шоссе,700.0,11.0,"Москва, Солнцево, Производственная 19 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/a0/394e42334f0dbc880cc865628517d0139bea01a0.jpeg,https://msk.etagi.com/realty/11994637/
11970332.0,26000000,62.0,2,False,2,26.0,2025.0,метро Верхние Лихоборы,300.0,5.0,"Москва, Западное Дегунино, Дмитровское шоссе 73бк1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/50/e0ab1a2a1ad0b623facb5b886777c1226c4f7350.jpeg,https://msk.etagi.com/realty/11970332/
11932767.0,50000000,87.4,3,False,29,55.0,2025.0,станция Марьина Роща,500.0,8.0,"Москва, Марьина Роща, 4-я улица Марьиной Рощи 10 корпус 3",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/ff/fb244c3cb291c04e09795c98de466c0a712aafff.jpeg,https://msk.etagi.com/realty/11932767/
11909639.0,16000000,50.2,2,False,18,23.0,2026.0,,,,"Москва, Куркино, Куркинское шоссе 15",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/24/6d8152c178607fea2e8c2b0f42c32e1bd5b60824.jpeg,https://msk.etagi.com/realty/11909639/
11905060.0,16900000,42.0,1,False,11,31.0,2026.0,станция Бульвар Рокоссовского,1100.0,17.0,"Москва, Метрогородок, Тагильская 6/1 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/c7/0f99462acf3b5e5da2caab3146e26039fe8968c7.jpeg,https://msk.etagi.com/realty/11905060/
11894600.0,28190000,37.7,0,True,8,22.0,2026.0,станция Савёловская,700.0,11.0,"Москва, Марьина Роща, Полковая 1 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/26/f6288187f6758cfe35bc7a89547938be79877e26.jpeg,https://msk.etagi.com/realty/11894600/
11883669.0,18540000,38.6,1,False,2,16.0,2025.0,метро Бунинская аллея,1100.0,17.0,"Москва, Сосенское, Бартеневская 18 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/cd/e18dc0ac5e6c3e97859eb714941ed4259d585ecd.jpeg,https://msk.etagi.com/realty/11883669/
11870383.0,26500000,42.6,2,False,5,23.0,2026.0,метро Кунцевская,800.0,12.0,"Москва, Кунцево, Ивана Франко 20 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/99/964bada241d20ea64c0053d5829b05a19809a399.jpeg,https://msk.etagi.com/realty/11870383/
11876523.0,14500000,29.9,0,True,22,29.0,2025.0,метро Новые Черёмушки,900.0,14.0,"Москва, Черёмушки, Намёткина вл10",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/89/2b3fb2a31954823704e7b797de563281babc4589.png,https://msk.etagi.com/realty/11876523/
11860119.0,17900000,36.8,1,False,23,30.0,2025.0,метро Дубровка,300.0,5.0,"Москва, Южнопортовый, Новоостаповская 16 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/33/98f9d46c2e29502940d1460c06504af83b4e4233.jpeg,https://msk.etagi.com/realty/11860119/
11778740.0,14950000,36.3,1,False,11,12.0,2025.0,станция Калитники,500.0,8.0,"Москва, Нижегородский, Автомобильный проезд 4с4",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/7d/ba1e7432f30b307326ad97f92ccfc3bb580fba7d.jpeg,https://msk.etagi.com/realty/11778740/
