"id","Code","Name","global_id","Is net object","Operating company","Object type","Area","District","Address","Public phone","Seats amount","Presence of privileges","Longitude in WGS-84","Latitude in WGS-84","Geodata","Centroid"
12329,"00448561",Азбука Вкуса,"2667081028",да,Азбука Вкуса,кафетерий,Юго-Западный административный округ,Ломоносовский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, улица Академика Пилюгина, дом 10",PublicPhone:(916) 713-00-20,"25",нет,"37.5398020000000000","55.6689617322398200","type:Point
coordinates:37.539802,55.668961732","{type=Point, coordinates=[37.539802, 55.668961732]}"
12330,"00448617",Кофейня «57 Coffee»,"2667081030",нет,"",кафетерий,Троицкий административный округ,район Троицк,"город Москва, город Троицк, Академическая площадь, дом 3",PublicPhone:(916) 517-71-00,"0",нет,"37.3047929999999890","55.4851496797209120","type:Point
coordinates:37.304793,55.48514968","{type=Point, coordinates=[37.304793, 55.48514968]}"
12331,"00448633",Кофе,"2667081031",нет,"",кафетерий,Северо-Западный административный округ,район Митино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Митинская улица, дом 45, корпус 2",PublicPhone:нет телефона,"2",нет,"37.3508120000000120","55.8503897849316500","type:Point
coordinates:37.350812,55.850389785","{type=Point, coordinates=[37.350812, 55.850389785]}"
12332,"00448658",Кофе с собой,"2667081032",да,Кофе с собой,кафетерий,Юго-Западный административный округ,район Ясенево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, улица Паустовского, дом 5, корпус 1",PublicPhone:(977) 472-72-82,"0",нет,"37.5407900000000010","55.5997627123659090","type:Point
coordinates:37.54079,55.599762712","{type=Point, coordinates=[37.54079, 55.599762712]}"
12333,"00448787",Магнит,"2667081033",да,Магнит,кафетерий,Зеленоградский административный округ,район Силино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, улица Гоголя, дом 2",PublicPhone:(903) 592-96-16,"34",нет,"37.1737250000000000","55.9835898241556900","type:Point
coordinates:37.173725,55.983589824","{type=Point, coordinates=[37.173725, 55.983589824]}"
12334,"00448893",Кулинарная лавка братьев Караваевых,"2667081036",да,Кулинарная лавка братьев Караваевых,предприятие быстрого обслуживания,Центральный административный округ,Мещанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Неглинная улица, дом 16А, строение 1",PublicPhone:(968) 636-94-87,"31",нет,"37.6203500000000090","55.7648357599787590","type:Point
coordinates:37.62035,55.76483576","{type=Point, coordinates=[37.62035, 55.76483576]}"
12335,"00448881",Surf Coffee,"2667081037",да,Surf Coffee,кафетерий,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Русаковская улица, дом 22",PublicPhone:нет телефона,"36",нет,"37.6787569999999900","55.7865697662999050","type:Point
coordinates:37.678757,55.786569766","{type=Point, coordinates=[37.678757, 55.786569766]}"
12336,"00263747",Милти,"2667081043",да,Милти,магазин (отдел кулинарии),Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Люсиновская улица, дом 4",PublicPhone:нет телефона,"0",нет,"37.6224510000000120","55.7274207491254220","type:Point
coordinates:37.622451,55.727420749","{type=Point, coordinates=[37.622451, 55.727420749]}"
12337,"00449220",Моремания,"2671324754",да,Моремания,ресторан,Юго-Восточный административный округ,район Кузьминки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Зеленодольская улица, дом 42",PublicPhone:нет телефона,"0",нет,"37.7643840000000000","55.7015757416493800","type:Point
coordinates:37.764384,55.701575742","{type=Point, coordinates=[37.764384, 55.701575742]}"
12338,"00449223",BURGER KING,"2671324755",нет,"",ресторан,Юго-Восточный административный округ,район Кузьминки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Зеленодольская улица, дом 42",PublicPhone:нет телефона,"0",нет,"37.7643840000000000","55.7015757416493800","type:Point
coordinates:37.764384,55.701575742","{type=Point, coordinates=[37.764384, 55.701575742]}"
