id,Code,Name,global_id,Is net object,Operating company,Object type,Area,District,Address,Public phone,Seats amount,Presence of privileges,Longitude in WGS-84,Latitude in WGS-84,Geodata,Centroid
6577,310185,CHINESE RESTAURANT Ибо Сян,1133073330,нет,,ресторан,Западный административный округ,район Раменки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Ломоносовский проспект, дом 29, корпус 1",PublicPhone:нет телефона,80,нет,37.516636,55.70312274209637,"type:Point
coordinates:37.516636,55.703122742","{type=Point, coordinates=[37.516636, 55.703122742]}"
6578,310269,White fox Cafe,1133073370,нет,,кафе,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большой Трёхгорный переулок, дом 6",PublicPhone:нет телефона,24,нет,37.563548290997,55.75893607251747,"type:Point
coordinates:37.563548291,55.758936073","{type=Point, coordinates=[37.563548291, 55.758936073]}"
6579,310270,5 Element fitness bar,1133073373,нет,,кафе,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Пресненская набережная, дом 2",PublicPhone:нет телефона,15,нет,37.540006000000005,55.7491977554381,"type:Point
coordinates:37.540006,55.749197755","{type=Point, coordinates=[37.540006, 55.749197755]}"
6580,310276,Биртайм,1133073392,нет,,бар,Центральный административный округ,Тверской район,"город Москва, Сущёвская улица, дом 19, строение 4",PublicPhone:(925) 661-54-31,22,нет,37.60060199999998,55.78180576491329,"type:Point
coordinates:37.600602,55.781805765","{type=Point, coordinates=[37.600602, 55.781805765]}"
6582,310319,Osteria Mario,1133073411,да,Osteria Mario,ресторан,Центральный административный округ,район Замоскворечье,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Пятницкая улица, дом 25, строение 1",PublicPhone:(968) 706-29-22,200,нет,37.630946,55.74215275339458,"type:Point
coordinates:37.630946,55.742152753","{type=Point, coordinates=[37.630946, 55.742152753]}"
6583,310321,Le procope du Martin,1133073418,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Садовая-Триумфальная улица, дом 20, строение 2",PublicPhone:(985) 518-86-11,18,нет,37.603453,55.77144676190022,"type:Point
coordinates:37.603453,55.771446762","{type=Point, coordinates=[37.603453, 55.771446762]}"
6584,310328,Кафе (закрытое),1133073425,нет,,кафе,Центральный административный округ,район Якиманка,"город Москва, Якиманская набережная, дом 4, строение 1",PublicPhone:(499) 230-29-67,101,нет,37.612211,55.73998275276539,"type:Point
coordinates:37.612211,55.739982753","{type=Point, coordinates=[37.612211, 55.739982753]}"
6585,310332,Florista Barista,1133073429,нет,,кафе,Центральный административный округ,район Якиманка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Крымский Вал, дом 8",PublicPhone:(905) 748-80-00,5,нет,37.60876835665909,55.731378951432205,"type:Point
coordinates:37.608768357,55.731378951","{type=Point, coordinates=[37.608768357, 55.731378951]}"
6587,310113,Чайхана,1133073455,нет,,кафе,Юго-Западный административный округ,Академический район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, проспект 60-летия Октября, дом 15",PublicPhone:(903) 146-54-04,14,нет,37.57852100000001,55.69691074030177,"type:Point
coordinates:37.578521,55.69691074","{type=Point, coordinates=[37.578521, 55.69691074]}"
6588,310198,Memo,1133073473,нет,,ресторан,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Рочдельская улица, дом 15, строение 35",PublicPhone:нет телефона,179,нет,37.5661376605624,55.75687735872664,"type:Point
coordinates:37.566137661,55.756877359","{type=Point, coordinates=[37.566137661, 55.756877359]}"
6591,310365,Гастропаб SVOY,1133073488,нет,,бар,Северо-Западный административный округ,район Хорошёво-Мнёвники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, 3-я Хорошёвская улица, дом 27, корпус 1",PublicPhone:(815) 496-35-50,20,нет,37.49494800000001,55.78680676636891,"type:Point
coordinates:37.494948,55.786806766","{type=Point, coordinates=[37.494948, 55.786806766]}"
6593,310393,Кафе Жигули,1133073509,нет,,кафе,Центральный административный округ,район Арбат,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 11, строение 1",PublicPhone:(495) 691-41-44,30,нет,37.595401,55.75216275629854,"type:Point
coordinates:37.595401,55.752162756","{type=Point, coordinates=[37.595401, 55.752162756]}"
6594,310441,Tsomi (ДЕПО МОСКВА),1133073521,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(495) 788-88-10,12,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6598,310480,Meat Dealers (ДЕПО МОСКВА),1133073559,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(495) 796-35-55,10,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6600,310490,Раменичная BY KU (ДЕПО МОСКВА),1133073577,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(905) 510-55-61,5,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6602,310499,Green Pub,1133073595,нет,,кафе,Южный административный округ,район Нагатинский Затон,"город Москва, Корабельная улица, дом 13",PublicPhone:(965) 112-87-87,24,нет,37.694843,55.68359373645794,"type:Point
coordinates:37.694843,55.683593736","{type=Point, coordinates=[37.694843, 55.683593736]}"
6603,310508,Рыба Моя Market (ДЕПО МОСКВА),1133073603,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(985) 147-63-57,13,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6604,310553,ПРАЙМ Мята,1133073622,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Тверская улица, дом 12, строение 2",PublicPhone:(916) 973-91-97,18,нет,37.60759899999999,55.763669759639996,"type:Point
coordinates:37.607599,55.76366976","{type=Point, coordinates=[37.607599, 55.76366976]}"
6607,310587,Sabbia (ДЕПО МОСКВА),1133073640,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(965) 135-15-59,8,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6608,310596,Profitrolli (ДЕПО МОСКВА),1133073644,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(965) 135-15-59,9,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6609,310610,Siam (ДЕПО МОСКВА),1133073654,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(985) 438-68-88,9,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6610,310615,Soul in the bowl (ДЕПО МОСКВА),1133073661,нет,,бар,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(985) 773-70-53,11,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6611,310620,BUBA by Sumosan (ДЕПО МОСКВА),1133073665,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(499) 455-05-02,12,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6613,310646,BISTRO BY Ruski-Главный бар (ДЕПО МОСКВА),1133073694,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(977) 896-26-63,9,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6618,310735,Cafe Antalya,1133073727,нет,,кафе,Западный административный округ,район Филёвский Парк,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Багратионовский проезд, дом 7, корпус 20А",PublicPhone:(499) 875-63-25,14,нет,37.50316800000002,55.74275475356915,"type:Point
coordinates:37.503168,55.742754754","{type=Point, coordinates=[37.503168, 55.742754754]}"
6619,310738,Buta House,1133073731,нет,,кафе,Центральный административный округ,Таганский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Большой Факельный переулок, дом 12",PublicPhone:(925) 740-91-91,18,нет,37.66396399999999,55.74162775324234,"type:Point
coordinates:37.663964,55.741627753","{type=Point, coordinates=[37.663964, 55.741627753]}"
6621,310879,Ели-пели,1133073750,нет,,бар,Зеленоградский административный округ,район Матушкино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, корпус 124, строение 1",PublicPhone:(901) 761-35-71,40,нет,37.205991,56.005993,"type:Point
coordinates:37.205991,56.005993","{type=Point, coordinates=[37.205991, 56.005993]}"
6623,310901,КишМиш,1133073761,нет,,кафе,Юго-Западный административный округ,район Ясенево,"город Москва, Новоясеневский проспект, дом 1, строение 4",PublicPhone:(495) 987-17-00,6,нет,37.510469,55.61833571768794,"type:Point
coordinates:37.510469,55.618335718","{type=Point, coordinates=[37.510469, 55.618335718]}"
6626,310976,МоскWa,1133073812,нет,,кафе,Северный административный округ,район Сокол,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, Ленинградский проспект, дом 77, корпус 1",PublicPhone:(968) 557-25-58,15,нет,37.509055999999994,55.804555771540166,"type:Point
coordinates:37.509056,55.804555772","{type=Point, coordinates=[37.509056, 55.804555772]}"
6628,311018,Dell Arte,1133073846,нет,,кафе,Центральный административный округ,район Якиманка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, Большой Толмачёвский переулок, дом 4, строение 1",PublicPhone:(925) 067-52-20,40,нет,37.622881,55.74073,"type:Point
coordinates:37.622881,55.74073","{type=Point, coordinates=[37.622881, 55.74073]}"
6629,311063,Кофейня Sweet,1133073874,нет,,кафе,Северо-Восточный административный округ,район Марьина Роща,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Сущёвский Вал, дом 5, строение 5",PublicPhone:(495) 780-63-93,8,нет,37.589859,55.79347576831099,"type:Point
coordinates:37.589859,55.793475768","{type=Point, coordinates=[37.589859, 55.793475768]}"
6631,311078,Бистро «Циники»,1133073885,нет,,кафе,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Богословский переулок, дом 8/15, строение 1",PublicPhone:нет телефона,25,нет,37.599831,55.762485,"type:Point
coordinates:37.599831,55.762485","{type=Point, coordinates=[37.599831, 55.762485]}"
6635,311126,Full Tiger,1133073972,нет,,ресторан,Северный административный округ,район Ховрино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, Петрозаводская улица, дом 11, корпус 3",PublicPhone:(916) 855-87-19,20,нет,37.495574000000005,55.86579078944355,"type:Point
coordinates:37.495574,55.865790789","{type=Point, coordinates=[37.495574, 55.865790789]}"
6636,311156,Senza Home Pizza,1133074009,нет,,кафе,Юго-Западный административный округ,Обручевский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Островитянова, дом 9, корпус 5",PublicPhone:(977) 172-01-99,35,нет,37.49714000000001,55.64503872535519,"type:Point
coordinates:37.49714,55.645038725","{type=Point, coordinates=[37.49714, 55.645038725]}"
6637,311172,Хмель и солод,1133074041,да,Хмель и солод,бар,Северо-Восточный административный округ,район Лианозово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Абрамцевская улица, дом 9, корпус 1",PublicPhone:(999) 867-20-71,18,нет,37.572275000000005,55.90433480076216,"type:Point
coordinates:37.572275,55.904334801","{type=Point, coordinates=[37.572275, 55.904334801]}"
6639,311182,Шах Кебаб,1133074061,нет,,кафе,Новомосковский административный округ,район Коммунарка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коммунарка, Калужское шоссе, 22-й километр, дом 10",PublicPhone:нет телефона,32,нет,37.471102,55.60101,"type:Point
coordinates:37.471102,55.60101","{type=Point, coordinates=[37.471102, 55.60101]}"
6640,310431,Чосон (ДЕПО МОСКВА),1133074076,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(495) 788-88-10,8,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6642,311193,Кафе Хуан Кофеман,1133074110,нет,,кафе,Восточный административный округ,район Перово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, 1-й проезд Перова Поля, дом 9, строение 2",PublicPhone:(910) 409-65-02,8,нет,37.77046978224322,55.75007963844888,"type:Point
coordinates:37.770469782,55.750079638","{type=Point, coordinates=[37.770469782, 55.750079638]}"
6644,311201,КВН КАФЕ,1133074130,нет,,кафе,Северо-Восточный административный округ,район Марьина Роща,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, Шереметьевская улица, дом 2",PublicPhone:(495) 966-34-34,20,нет,37.617937,55.793996768462776,"type:Point
coordinates:37.617937,55.793996768","{type=Point, coordinates=[37.617937, 55.793996768]}"
6647,311205,Грузинская кухня,1133074145,нет,,кафе,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, 6-я Парковая улица, дом 21",PublicPhone:нет телефона,30,нет,37.790499,55.79260876805846,"type:Point
coordinates:37.790499,55.792608768","{type=Point, coordinates=[37.790499, 55.792608768]}"
6648,311206,Нефтьмагистраль,1133074148,да,Нефтьмагистраль,кафе,Северо-Восточный административный округ,район Северный,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северный, Дмитровское шоссе, земельный участок 163Б",PublicPhone:нет телефона,12,нет,37.538331,55.915395,"type:Point
coordinates:37.538331,55.915395","{type=Point, coordinates=[37.538331, 55.915395]}"
6649,311210,Тхали,1133074163,нет,,кафе,Восточный административный округ,район Измайлово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловское шоссе, дом 73Ж, строение 9",PublicPhone:нет телефона,30,нет,37.753135,55.794324768558326,"type:Point
coordinates:37.753135,55.794324769","{type=Point, coordinates=[37.753135, 55.794324769]}"
6650,311212,ИКЕА Кафе,1133074171,нет,,кафе,Юго-Восточный административный округ,Южнопортовый район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 7-я Кожуховская улица, дом 9",PublicPhone:(800) 234-55-66,20,нет,37.676063,55.71079574431442,"type:Point
coordinates:37.676063,55.710795744","{type=Point, coordinates=[37.676063, 55.710795744]}"
6652,311228,Хмель и солод,1133074213,да,Хмель и солод,бар,Северо-Восточный административный округ,Лосиноостровский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лосиноостровский, улица Малыгина, дом 5, корпус 1",PublicPhone:нет телефона,6,нет,37.696265,55.8798517935682,"type:Point
coordinates:37.696265,55.879851794","{type=Point, coordinates=[37.696265, 55.879851794]}"
6653,311231,Причина для капучино,1133074220,нет,,кафе,Северо-Восточный административный округ,район Южное Медведково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Медведково, Полярная улица, дом 27, корпус 4",PublicPhone:(991) 709-73-00,10,нет,37.635000000000005,55.88349379463737,"type:Point
coordinates:37.635,55.883493795","{type=Point, coordinates=[37.635, 55.883493795]}"
6654,311232,Кафе Кулинарное Чтиво,1133074224,нет,,кафе,Северо-Восточный административный округ,Останкинский район,"город Москва, проспект Мира, дом 105К",PublicPhone:(910) 416-35-67,12,нет,37.63781699999999,55.816547775038686,"type:Point
coordinates:37.637817,55.816547775","{type=Point, coordinates=[37.637817, 55.816547775]}"
6656,311246,Surf Coffee,1133074269,да,Surf Coffee,кафе,Северо-Восточный административный округ,Бутырский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Большая Новодмитровская улица, дом 36, строение 8",PublicPhone:(925) 352-31-53,10,нет,37.584740999999994,55.80577277189503,"type:Point
coordinates:37.584741,55.805772772","{type=Point, coordinates=[37.584741, 55.805772772]}"
6657,311249,Bardot,1133074273,нет,,ресторан,Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Остоженка, дом 5",PublicPhone:(903) 798-54-91,60,нет,37.601635,55.743419753762,"type:Point
coordinates:37.601635,55.743419754","{type=Point, coordinates=[37.601635, 55.743419754]}"
6658,311251,Красный чай,1133074281,нет,,кафе,Юго-Западный административный округ,район Южное Бутово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Поляны, дом 5",PublicPhone:(910) 464-08-10,25,нет,37.555435,55.558772,"type:Point
coordinates:37.555435,55.558772","{type=Point, coordinates=[37.555435, 55.558772]}"
6662,311270,На луне,1133074331,нет,,кафе,Юго-Западный административный округ,район Южное Бутово,"город Москва, Венёвская улица, дом 2А",PublicPhone:(495) 773-76-75,95,нет,37.54184800000001,55.55022569821477,"type:Point
coordinates:37.541848,55.550225698","{type=Point, coordinates=[37.541848, 55.550225698]}"
6663,311273,HookahPlace by Well's,1133074343,нет,,кафе,Северо-Западный административный округ,район Хорошёво-Мнёвники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, бульвар Генерала Карбышева, дом 13А",PublicPhone:(495) 204-44-06,20,нет,37.468629000000014,55.781149764722414,"type:Point
coordinates:37.468629,55.781149765","{type=Point, coordinates=[37.468629, 55.781149765]}"
