rating_position,school_name,okrug,district,address,top_50,location
171,Школа № 1811 «Восточное Измайлово»,Восточный,"Восточное 
Измайлово",Россия. город Москва. Первомайская улица. дом 111,F,POINT(37.81470 55.79390)
172,Школа № 1352,Восточный,Гольяново,Россия. город Москва. Щёлковское шоссе. дом 79А,F,POINT(37.80805 55.81304)
173,Измайловская школа № 1508,Восточный,Измайлово,Россия. город Москва. 9-я Парковая улица. дом 42,F,POINT(37.79979 55.79893)
174,Школа № 1852,Восточный,Перово,Россия. город Москва. 2-я Владимирская улица. дом 22А,F,POINT(37.77924 55.75594)
175,Школа № 1080,Восточный,Преображенское,Россия. город Москва. Знаменская улица. дом 12/15,F,POINT(37.72032 55.80201)
176,Школа № 2033,Восточный,"Северное 
Измайлово",Россия. город Москва. 3-я Парковая улица. дом 40,F,POINT(37.78307 55.80309)
177,Школа № 1371 «Крылатское»,Западный,Крылатское,Россия. город Москва. Осенний бульвар. дом 16. корп. 5,F,POINT(37.41205 55.76128)
178,Школа № 1293,Западный,Кунцево,Россия. город Москва. Оршанская улица. дом 10. корп. 2,F,POINT(37.41053 55.74230)
179,Школа № 1238,Западный,"Ново 
Переделкино",Россия. город Москва. Чоботовская улица. дом 19,F,POINT(37.34754 55.64565)
180,Школа № 2025,Западный,"Очаково 
Матвеевское",Россия. город Москва. Большая Очаковская улица. дом 39. корп. 2,F,POINT(37.44774 55.67526)
181,Школа № 1306 — «Школа молодых политиков»,Западный,Раменки,Россия. город Москва. Мичуринский проспект. дом 15. корп. 2,F,POINT(37.50899 55.69827)
182,Школа № 1434 «Раменки»,Западный,Раменки,Россия. город Москва. улица Раменки. дом 15. корп. 1,F,POINT(37.50033 55.69074)
183,Школа № 1002,Западный,Солнцево,Россия. город Москва. Солнцевский проспект. дом 16А,F,POINT(37.40358 55.65302)
184,Школа № 1347,Западный,Солнцево,Россия. город Москва. улица Главмосстроя. дом 28,F,POINT(37.40638 55.65798)
185,Школа № 2117,Новомосковский,Щербинка,Россия. город Москва. город Щербинка. улица 40 лет Октября. дом 5/1,F,POINT(37.56968 55.51168)
186,Школа «Бескудниково»,Северный,Бескудниковский,Россия. город Москва. Бескудниковский бульвар. дом 50Б,F,POINT(37.54160 55.87537)
187,Школа № 201 им. Зои и Александра Космодемьянских,Северный,Войковский,Россия. город Москва. улица Зои и Александра Космодемьянских. дом 3. стр. 1,F,POINT(37.50723 55.82156)
188,Школа № 1315,Северный,Головинский,Россия. город Москва. Конаковский проезд. дом 5,F,POINT(37.48102 55.84592)
189,Школа № 1583 им. К.А. Керимова,Северный,Головинский,Россия. город Москва. Смольная улица. дом 37А,F,POINT(37.47905 55.86044)
190,Школа № 1251 им. генерала Шарля де Голля,Северный,Сокол,Россия. город Москва. улица Сальвадора Альенде. дом 9,F,POINT(37.50669 55.79423)
191,Школа № 1415 «Останкино»,Северо-Восточный,Останкинский,Россия. город Москва. 1-я Останкинская улица. дом 29,F,POINT(37.62451 55.82468)
192,Школа № 962,Северо-Восточный,Отрадное,Россия. город Москва. улица Санникова. дом 3. корп. 3,F,POINT(37.59286 55.85967)
193,Школа № 1499 имени И.А. Докукина,Северо-Восточный,Ростокино,Россия. город Москва. Ростокинская улица. дом 3,F,POINT(37.66052 55.83558)
194,Школа № 138,Северо-Западный,"Хорошево 
Мневники",Россия. город Москва. улица Генерала Глаголева. дом 10. корп. 2,F,POINT(37.46441 55.78122)
195,Школа № 1522 имени В.И. Чуркина,Северо-Западный,"Хорошево 
Мневники",Россия. город Москва. улица Народного Ополчения. дом 16. корп. 4,F,POINT(37.48209 55.77281)
196,Школа № 1551,Северо-Западный,Южное Тушино,Россия. город Москва. улица Фабрициуса. дом 6. корп. 2,F,POINT(37.45064 55.84590)
197,Школа № 1259,Центральный,Замоскворечье,Россия. город Москва. 5-й Монетчиковский переулок. дом 7,F,POINT(37.63206 55.73206)
198,Экономический лицей РЭУ им. Плеханова,Центральный,Замоскворечье,Россия. город Москва. улица Зацепа. дом 41. корп. 4,F,POINT(37.62929 55.72889)
199,Школа № 2030,Центральный,Пресненский,Россия. город Москва. 2-я Звенигородская улица. дом 8,F,POINT(37.55571 55.76006)
200,Школа № 1468,Центральный,Таганский,Россия. город Москва. Брошевский переулок. дом 21,F,POINT(37.67253 55.73511)
201,Школа № 2104 на Таганке,Центральный,Таганский,Россия. город Москва. 1-й Котельнический переулок. дом 5,F,POINT(37.64618 55.74365)
202,Школа № 1540,Центральный,Тверской,Россия. город Москва. Новослободская улица. дом 57. стр. 1,F,POINT(37.59220 55.78689)
203,Предуниверситарий МГЛУ,Центральный,Хамовники,Россия. город Москва. Хилков переулок. дом 3А,F,POINT(37.59822 55.73721)
204,Школа имени В.В. Маяковского,Юго-Восточный,Южнопортовый,Россия. город Москва. 1-я улица Машиностроения. дом 12. корп. 2,F,POINT(37.67174 55.71331)
205,Школа № 1279 «Эврика»,Юго-Западный,Зюзино,Россия. город Москва. Азовская улица. дом 2. корп. 2,F,POINT(37.60387 55.66299)
206,Школа № 1273,Юго-Западный,Коньково,Россия. город Москва. улица Академика Капицы. дом 14А,F,POINT(37.52240 55.62828)
207,Школа № 626 имени Н.И. Сац,Юго-Западный,Котловка,Россия. город Москва. Севастопольский проспект. дом 43А,F,POINT(37.59004 55.67181)
208,Школа № 2006,Юго-Западный,Северное Бутово,Россия. город Москва. улица Грина. дом 18. корп. 3,F,POINT(37.58239 55.56615)
209,Школа № 1101,Юго-Западный,Теплый Стан,Россия. город Москва. улица Академика Варги. дом 34,F,POINT(37.47806 55.63390)
210,Школа № 1205,Юго-Западный,Черемушки,Россия. город Москва. улица Архитектора Власова. дом 19А,F,POINT(37.55433 55.67683)
211,Школа № 1355,Юго-Западный,Южное Бутово,Россия. город Москва. 3-я Железногорская улица. дом 11А,F,POINT(37.54824 55.52168)
212,Школа № 1492,Юго-Западный,Южное Бутово,Россия. город Москва. улица Адмирала Лазарева. дом 62. корп. 2,F,POINT(37.50886 55.54049)
213,Школа № 1034 имени В.В. Маркина,Южный,Братеево,Россия. город Москва. Братеевская улица. дом 8. корп. 2,F,POINT(37.75785 55.63097)
214,Школа № 2116 «Зябликово»,Южный,Зябликово,Россия. город Москва. Задонский проезд. дом 34. корп. 3,F,POINT(37.75452 55.62056)
215,Школа № 1375,Южный,"Нагатино 
Садовники",Россия. город Москва. Нагатинская набережная. дом 24,F,POINT(37.65667 55.68134)
216,Школа № 1770,Южный,"Нагатинский 
затон",Россия. город Москва. Коломенская набережная. дом 20,F,POINT(37.69533 55.67632)
217,Школа № 878,Южный,Орехово-Борисово Северное,Россия. город Москва. Шипиловский проезд. дом 37. корп. 2,F,POINT(37.69785 55.61378)
218,Школа № 949,Южный,Орехово-Борисово Южное,Россия. город Москва. Воронежская улица. дом 46. корп. 3,F,POINT(37.75388 55.60928)
219,Школа № 1582,Южный,"Чертаново 
Центральное",Россия. город Москва. Кировоградская улица. дом 18. корп. 4,F,POINT(37.60133 55.61806)
220,Школа № 629,Южный,Чертаново Южное,Россия. город Москва. улица Маршала Батицкого. дом 12,F,POINT(38.08186 55.75827)
