category,fullname,shortname,address,location
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 143 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 143 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Самаркандский бульвар, дом 17, корпус 2",POINT(37.815682537 55.69550093)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 91 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 91 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, Затонная улица, дом 11, корпус 1",POINT(37.69515069 55.686036431)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 110 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 110 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Декабристов, дом 39",POINT(37.6166696 55.861054615)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 122 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 122 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Измайлово, Щёлковское шоссе, дом 82, корпус 2",POINT(37.814366564 55.810011253)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 23 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 23 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Лебедянская улица, дом 33",POINT(37.69076457 55.585902574)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 94 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 94 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, бульвар Генерала Карбышева, дом 3",POINT(37.467833656 55.778188983)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 69 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 69 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Севастопольский проспект, дом 40, строение 1",POINT(37.568887807 55.655658441)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 69 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 69 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Винокурова, дом 14",POINT(37.59092685 55.686499213)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 7 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 7 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Утренняя улица, дом 18А",POINT(37.797097216 55.747614513)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 125 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 125 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алтуфьевский, Костромская улица, дом 14",POINT(37.59766838 55.885241078)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 118 филиал № 6 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 118 филиал № 6 ДЗМ,"город Москва, Изюмская улица, дом 37",POINT(37.568031557 55.550483697)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 58 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 58 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, улица Твардовского, дом 5, корпус 4",POINT(37.395057153 55.797390485)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 91 Департамента здравоохранения город Москвы»,ГБУЗ ДГП № 91 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, улица Академика Миллионщикова, дом 22",POINT(37.644730463 55.663747441)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 99 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 99 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, Староалексеевская улица, дом 18",POINT(37.64253254 55.809415245)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 94 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 94 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, Планерная улица, дом 16",POINT(37.437407828 55.864948335)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 52 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 52 филиал № 2 ДЗМ,"город Москва, Первомайская улица, дом 10А",POINT(37.774928104 55.790235661)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 132 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 132 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Новоорловская улица, дом 2, корпус 1",POINT(37.3650932 55.639375586)
